 WORKFLOW_ENTRY_ID |     WORKFLOW_DATE      | GROUP | INSTANCE_ID | WORKFLOW_ITEM_ID 
              1899 | 2020-01-31 07:03:31+00 |     1 |         713 |               72
              1892 | 2021-03-04 15:00:37+00 |     1 |         694 |               71
              1893 | 2020-03-06 15:00:37+00 |     1 |         694 |               72
              1905 | 2021-01-29 06:56:09+00 |     1 |         546 |               71
              1906 | 2020-01-31 06:56:09+00 |     1 |         546 |               72
              1886 | 2022-01-29 09:15:10+00 |     1 |         774 |               71
              1887 | 2020-01-31 09:15:10+00 |     1 |         774 |               72
              1911 | 2022-01-29 06:46:22+00 |     1 |         635 |               71
              1912 | 2020-01-31 06:46:22+00 |     1 |         635 |               72
              1923 | 2022-03-04 08:47:38+00 |     1 |         457 |               71
              1924 | 2020-03-06 08:47:38+00 |     1 |         457 |               72
              1908 | 2022-01-29 10:01:46+00 |     1 |         680 |               71
              1947 | 2021-03-13 15:16:18+00 |     1 |         685 |               71
              1948 | 2020-03-13 15:16:18+00 |     1 |         685 |               72
              1986 | 2021-03-12 09:32:32+00 |     1 |         946 |               71
              1995 | 2021-03-18 08:55:32+00 |     1 |         819 |               71
              1996 | 2020-03-20 08:55:32+00 |     1 |         819 |               72
              1998 | 2021-03-18 16:41:41+00 |     1 |         942 |               71
              1999 | 2020-03-20 16:41:41+00 |     1 |         942 |               72
              2009 | 2021-02-10 08:20:59+00 |     1 |         310 |               71
              2010 | 2020-02-12 08:20:59+00 |     1 |         310 |               72
              1950 | 2021-03-09 16:46:12+00 |     1 |         787 |               71
              1992 | 2022-03-18 07:38:56+00 |     1 |         875 |               71
              1993 | 2020-03-20 07:38:56+00 |     1 |         875 |               72
              2128 | 2021-03-30 06:04:02+00 |     1 |         319 |               71
              2129 | 2020-04-02 06:04:02+00 |     1 |         319 |               72
              2062 | 2021-03-09 15:07:32+00 |     1 |         483 |               71
              2063 | 2020-03-31 14:07:32+00 |     1 |         483 |               72
              2074 | 2021-04-01 13:39:10+00 |     1 |         994 |               71
              2075 | 2020-04-03 13:39:10+00 |     1 |         994 |               72
              2071 | 2021-03-26 15:22:01+00 |     1 |         961 |               71
              2072 | 2020-04-02 14:22:01+00 |     1 |         961 |               72
              2132 | 2021-03-16 07:51:49+00 |     1 |         748 |               71
              2205 | 2021-04-20 06:35:56+00 |     1 |         911 |               71
              2206 | 2020-04-23 06:35:56+00 |     1 |         911 |               72
              2209 | 2021-04-20 06:41:23+00 |     1 |          78 |               71
              2210 | 2020-04-23 06:41:23+00 |     1 |          78 |               72
              2212 | 2021-04-20 06:57:37+00 |     1 |         802 |               71
              2213 | 2020-04-23 06:57:37+00 |     1 |         802 |               72
              2266 | 2021-04-21 06:54:13+00 |     1 |         634 |               71
              2269 | 2022-04-20 09:18:59+00 |     1 |         574 |               71
              2270 | 2020-04-23 09:18:59+00 |     1 |         574 |               72
              2273 | 2022-04-20 08:56:04+00 |     1 |         842 |               71
              2274 | 2020-04-23 08:56:04+00 |     1 |         842 |               72
              2279 | 2021-04-20 13:17:36+00 |     1 |         804 |               71
              2280 | 2020-04-23 13:17:36+00 |     1 |         804 |               72
              2282 | 2021-04-20 15:02:32+00 |     1 |         690 |               71
              2283 | 2020-04-23 15:02:32+00 |     1 |         690 |               72
              2286 | 2021-04-22 07:06:48+00 |     1 |         716 |               71
              2287 | 2020-04-24 07:06:48+00 |     1 |         716 |               72
              2301 | 2021-04-22 07:25:47+00 |     1 |         812 |               71
              2302 | 2020-04-24 07:25:47+00 |     1 |         812 |               72
              2307 | 2022-04-20 09:17:50+00 |     1 |         738 |               71
              2351 | 2021-04-28 09:13:57+00 |     1 |         920 |               71
              2352 | 2020-05-01 09:13:57+00 |     1 |         920 |               72
              2354 | 2021-04-28 09:16:52+00 |     1 |         970 |               71
              2355 | 2020-05-04 09:16:52+00 |     1 |         970 |               72
              2357 | 2021-04-28 09:18:44+00 |     1 |         563 |               71
              2358 | 2020-05-04 09:18:44+00 |     1 |         563 |               72
              2360 | 2021-04-28 09:21:31+00 |     1 |         957 |               71
              2361 | 2020-05-01 09:21:31+00 |     1 |         957 |               72
              2372 | 2021-04-28 13:38:36+00 |     1 |         883 |               71
              2373 | 2020-05-04 13:38:36+00 |     1 |         883 |               72
              2375 | 2021-04-28 13:56:51+00 |     1 |         884 |               71
              2376 | 2020-05-04 13:56:51+00 |     1 |         884 |               72
              2378 | 2021-04-28 13:58:03+00 |     1 |         937 |               71
              2379 | 2020-05-04 13:58:03+00 |     1 |         937 |               72
              2387 | 2021-04-22 05:35:07+00 |     1 |         709 |               71
              2385 | 2020-04-22 05:35:07+00 |     1 |         709 |               61
              2369 | 2021-04-28 15:17:57+00 |     1 |         352 |               71
              2370 | 2020-05-04 15:17:57+00 |     1 |         352 |               72
              2289 | 2021-04-22 13:33:53+00 |     1 |         912 |               71
              2290 | 2020-04-24 13:33:53+00 |     1 |         912 |               72
              2295 | 2021-04-22 13:47:32+00 |     1 |         897 |               71
              2296 | 2020-04-24 13:47:32+00 |     1 |         897 |               72
              2292 | 2021-04-22 06:40:56+00 |     1 |         959 |               71
              2293 | 2020-04-24 06:40:56+00 |     1 |         959 |               72
              2298 | 2021-04-22 07:23:17+00 |     1 |         910 |               71
              2299 | 2020-04-24 07:23:17+00 |     1 |         910 |               72
              2364 | 2021-04-28 14:53:16+00 |     1 |         859 |               71
              2365 | 2020-05-01 14:53:16+00 |     1 |         859 |               72
              2408 | 2021-04-28 15:06:47+00 |     1 |         972 |               71
              2409 | 2020-05-06 15:06:47+00 |     1 |         972 |               72
              2308 | 2020-04-24 09:17:50+00 |     1 |         738 |               72
              2304 | 2022-04-22 10:02:20+00 |     1 |         740 |               71
              2305 | 2020-04-24 10:02:20+00 |     1 |         740 |               72
              2411 | 2021-04-28 14:00:39+00 |     1 |         990 |               71
              2412 | 2020-05-06 14:00:39+00 |     1 |         990 |               72
              2466 | 2021-04-29 05:54:49+00 |     1 |         439 |               71
              2467 | 2020-05-13 05:54:49+00 |     1 |         439 |               72
              2414 | 2021-03-03 15:14:32+00 |     1 |         416 |               71
              2415 | 2020-05-08 14:14:32+00 |     1 |         416 |               72
              2451 | 2021-05-08 07:14:44+00 |     1 |        1075 |               71
              2452 | 2020-05-08 07:14:44+00 |     1 |        1075 |               72
              2475 | 2021-04-29 15:37:49+00 |     1 |         799 |               71
              2476 | 2020-04-30 15:37:49+00 |     1 |         799 |               72
              2472 | 2021-04-29 15:38:22+00 |     1 |         755 |               71
              2473 | 2020-05-04 15:38:22+00 |     1 |         755 |               72
              2469 | 2021-04-29 15:39:06+00 |     1 |         443 |               71
              2470 | 2020-05-09 15:39:06+00 |     1 |         443 |               72
              1247 | 2019-08-23 05:42:51+00 |     1 |         265 |               72
              2485 | 2021-03-09 12:02:58+00 |     1 |         704 |               71
              2486 | 2020-03-13 12:02:58+00 |     1 |         704 |               72
              2545 | 2021-05-13 08:15:37+00 |     1 |         664 |               71
              1889 | 2021-03-04 09:20:10+00 |     1 |         693 |               71
              2546 | 2020-05-15 08:15:37+00 |     1 |         664 |               72
              2551 | 2021-05-13 08:19:33+00 |     1 |         987 |               71
              2552 | 2020-05-15 08:19:33+00 |     1 |         987 |               72
              2513 | 2021-05-11 13:10:18+00 |     1 |         973 |               71
              2514 | 2020-05-15 13:10:18+00 |     1 |         973 |               72
              2540 | 2021-05-13 07:29:42+00 |     1 |        1023 |               71
              2541 | 2020-05-15 07:29:42+00 |     1 |        1023 |               72
              2574 | 2021-05-14 10:41:03+00 |     1 |         833 |               71
              2575 | 2020-05-14 10:41:03+00 |     1 |         833 |               72
              2531 | 2022-05-02 07:46:56+00 |     1 |        1007 |               71
              2536 | 2021-05-13 13:58:23+00 |     1 |         995 |               71
              2537 | 2020-05-15 13:58:23+00 |     1 |         995 |               72
              2554 | 2021-05-13 09:05:23+00 |     1 |          51 |               71
              2555 | 2020-05-15 09:05:23+00 |     1 |          51 |               72
              2521 | 2021-05-11 08:58:38+00 |     1 |        1039 |               71
              2522 | 2020-05-15 08:58:38+00 |     1 |        1039 |               72
              2533 | 2021-05-13 13:57:44+00 |     1 |        1028 |               71
              2534 | 2020-05-15 13:57:44+00 |     1 |        1028 |               72
              2557 | 2021-05-13 13:16:30+00 |     1 |        1010 |               71
              2558 | 2020-05-15 13:16:30+00 |     1 |        1010 |               72
              2519 | 2020-05-15 15:18:51+00 |     1 |         947 |               72
              2518 | 2021-05-11 15:18:51+00 |     1 |         947 |               71
              2548 | 2022-05-13 09:04:20+00 |     1 |         112 |               71
              2549 | 2020-05-15 09:04:20+00 |     1 |         112 |               72
              2599 | 2021-05-19 15:04:24+00 |     1 |        1016 |               71
              2600 | 2020-05-22 15:04:24+00 |     1 |        1016 |               72
              2589 | 2021-05-19 14:38:52+00 |     1 |        1018 |               71
              2590 | 2020-05-22 14:38:52+00 |     1 |        1018 |               72
              2593 | 2021-05-19 15:01:47+00 |     1 |        1150 |               71
              2594 | 2020-05-19 15:01:47+00 |     1 |        1150 |               72
              2596 | 2021-05-19 13:55:10+00 |     1 |        1088 |               71
              2597 | 2020-05-22 13:55:10+00 |     1 |        1088 |               72
              2649 | 2021-05-25 09:46:03+00 |     1 |         925 |               71
              2650 | 2020-05-28 09:46:03+00 |     1 |         925 |               72
              2645 | 2022-05-25 09:36:50+00 |     1 |         997 |               71
              2646 | 2020-05-28 09:36:50+00 |     1 |         997 |               72
              2674 | 2021-05-27 06:44:15+00 |     1 |         991 |               71
              2675 | 2020-05-29 06:44:15+00 |     1 |         991 |               72
              2670 | 2020-05-29 10:27:03+00 |     1 |        1091 |               72
              2669 | 2021-05-29 10:27:03+00 |     1 |        1091 |               71
              2639 | 2021-05-25 06:16:23+00 |     1 |         958 |               71
              2640 | 2020-05-28 06:16:23+00 |     1 |         958 |               72
              2656 | 2021-05-25 09:03:27+00 |     1 |        1035 |               71
              2657 | 2020-05-28 09:03:27+00 |     1 |        1035 |               72
              2663 | 2020-05-28 07:46:56+00 |     1 |        1007 |               72
              2652 | 2021-05-25 07:06:01+00 |     1 |        1109 |               71
              2653 | 2020-05-28 07:06:01+00 |     1 |        1109 |               72
              2677 | 2022-05-27 13:12:22+00 |     1 |         661 |               71
              2678 | 2020-05-29 13:12:22+00 |     1 |         661 |               72
              2785 | 2022-06-10 14:22:29+00 |     1 |        1103 |               71
              2786 | 2020-06-15 14:22:29+00 |     1 |        1103 |               72
              2767 | 2020-10-23 07:10:27+00 |     1 |         464 |               71
              2768 | 2019-12-05 08:10:27+00 |     1 |         464 |               72
              2832 | 2020-06-18 09:40:32+00 |     1 |        1085 |               72
              2765 | 2020-06-16 07:04:24+00 |     1 |         606 |               61
              2836 | 2021-06-16 12:22:46+00 |     1 |         976 |               71
              2837 | 2020-06-19 12:22:46+00 |     1 |         976 |               72
              2839 | 2021-06-16 13:55:40+00 |     1 |         259 |               71
              2840 | 2020-06-19 13:55:40+00 |     1 |         259 |               72
              2868 | 2021-06-15 08:23:57+00 |     1 |         343 |               71
              2869 | 2020-06-23 08:23:57+00 |     1 |         343 |               72
              2906 | 2021-06-24 09:27:48+00 |     1 |        1227 |               71
              2907 | 2020-06-26 09:27:48+00 |     1 |        1227 |               72
              2853 | 2022-06-15 09:14:08+00 |     1 |        1043 |               71
              2850 | 2021-06-15 12:46:17+00 |     1 |         980 |               71
              2854 | 2020-06-22 09:14:08+00 |     1 |        1043 |               72
              2851 | 2020-06-22 12:46:18+00 |     1 |         980 |               72
              2782 | 2022-06-10 13:48:51+00 |     1 |         927 |               71
              2783 | 2020-06-15 13:48:51+00 |     1 |         927 |               72
